epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1213.15,0.71892,0.40476,1.15404,0.99706,1,0.995,0.80112,0.80955,0.3,1.35651,0.0012773,0.0012773,0.0012773
75,1230.13,0.69698,0.39127,1.11976,0.99734,1,0.995,0.81403,0.84459,0.30551,1.36526,0.0012674,0.0012674,0.0012674
76,1248.58,0.70606,0.40273,1.13127,1,0.9989,0.995,0.81235,0.83833,0.32378,1.37101,0.0012575,0.0012575,0.0012575
77,1266.47,0.7042,0.40443,1.13551,0.99708,1,0.995,0.79492,0.87105,0.34119,1.40957,0.0012476,0.0012476,0.0012476
78,1284.62,0.69487,0.41454,1.12737,1,0.99738,0.995,0.79621,0.83922,0.34394,1.33951,0.0012377,0.0012377,0.0012377
79,1302,0.70265,0.4049,1.13957,0.99669,1,0.995,0.8179,0.81023,0.32333,1.29712,0.0012278,0.0012278,0.0012278
80,1319.87,0.69767,0.38858,1.12191,0.9971,1,0.995,0.77842,0.86742,0.36693,1.36631,0.0012179,0.0012179,0.0012179
81,1338.09,0.71438,0.39293,1.12583,0.99672,1,0.995,0.79286,0.8793,0.35861,1.36525,0.001208,0.001208,0.001208
82,1355.7,0.72139,0.40462,1.16668,0.94906,1,0.99,0.77299,0.88386,0.37768,1.34349,0.0011981,0.0011981,0.0011981
83,1372.98,0.69437,0.40006,1.13736,0.99773,1,0.995,0.78505,0.86637,0.33816,1.39367,0.0011882,0.0011882,0.0011882
84,1390.53,0.69342,0.39532,1.11959,0.99722,1,0.995,0.7949,0.82352,0.33015,1.3741,0.0011783,0.0011783,0.0011783
85,1408.54,0.69429,0.39296,1.12573,0.99715,1,0.995,0.76647,0.86955,0.34733,1.46753,0.0011684,0.0011684,0.0011684
86,1426.52,0.70779,0.40664,1.1315,0.99757,1,0.995,0.78245,0.82874,0.3123,1.37837,0.0011585,0.0011585,0.0011585
87,1444.97,0.69705,0.39512,1.13509,0.99665,1,0.995,0.80241,0.8278,0.30677,1.40532,0.0011486,0.0011486,0.0011486
88,1462.65,0.66973,0.37813,1.10652,0.99741,1,0.995,0.81452,0.82426,0.29723,1.43148,0.0011387,0.0011387,0.0011387
89,1479.97,0.67014,0.39096,1.1104,0.99954,1,0.995,0.79357,0.85459,0.3161,1.51925,0.0011288,0.0011288,0.0011288
90,1497.41,0.69567,0.39341,1.12839,0.99485,0.94737,0.9925,0.81852,0.83105,0.29934,1.39866,0.0011189,0.0011189,0.0011189
91,1514.5,0.6775,0.3793,1.11785,1,0.99908,0.995,0.82113,0.79622,0.32594,1.34098,0.001109,0.001109,0.001109
92,1530.78,0.67744,0.37319,1.11831,0.99859,1,0.995,0.79718,0.8473,0.31158,1.41437,0.0010991,0.0010991,0.0010991
93,1547.58,0.68941,0.38155,1.11836,0.99782,1,0.995,0.81184,0.81078,0.31309,1.35222,0.0010892,0.0010892,0.0010892
94,1564.98,0.68613,0.37634,1.11632,0.9979,1,0.995,0.81292,0.82377,0.34424,1.32363,0.0010793,0.0010793,0.0010793
95,1582.53,0.67771,0.37622,1.11281,1,0.9999,0.995,0.79704,0.81341,0.33497,1.32508,0.0010694,0.0010694,0.0010694
