epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6297.77,0.81668,0.50067,1.00879,0.99597,0.95,0.94858,0.76143,0.78625,0.44227,0.9725,0.0002946,0.0002946,0.0002946
77,6377.81,0.76785,0.48441,0.98663,0.99524,0.95,0.94853,0.76253,0.76734,0.43289,0.9826,0.00027276,0.00027276,0.00027276
78,6458.12,0.77902,0.47387,1.00689,0.99527,0.95,0.95125,0.7539,0.81528,0.41824,0.97585,0.000251639,0.000251639,0.000251639
79,6538.34,0.76899,0.48507,0.99795,0.99607,0.95,0.97132,0.75955,0.79167,0.40874,0.97305,0.000231257,0.000231257,0.000231257
80,6618.57,0.77709,0.47425,1.00508,0.99668,0.95,0.94746,0.76606,0.76792,0.4171,0.95947,0.000211635,0.000211635,0.000211635
81,6698.88,0.77895,0.47327,1.02019,0.99609,0.95,0.95048,0.7675,0.7911,0.44015,0.98193,0.000192792,0.000192792,0.000192792
82,6779.3,0.7548,0.47766,1.0054,0.99603,0.95,0.96038,0.77534,0.8346,0.46507,0.97623,0.000174747,0.000174747,0.000174747
83,6859.41,0.775,0.47379,1.0067,0.99616,0.95,0.9753,0.77158,0.81132,0.41812,0.96948,0.000157516,0.000157516,0.000157516
84,6940.19,0.77993,0.48251,1.00924,0.99623,0.95,0.96423,0.77276,0.8467,0.43143,0.98535,0.000141119,0.000141119,0.000141119
85,7020.52,0.75398,0.46429,1.00838,0.99478,0.95,0.97726,0.78581,0.78004,0.42793,0.96799,0.00012557,0.00012557,0.00012557
86,7100.32,0.75243,0.467,0.99542,0.99474,0.95,0.96939,0.77542,0.82561,0.43171,0.97623,0.000110884,0.000110884,0.000110884
87,7181,0.74568,0.47143,0.98687,0.99591,0.95,0.95133,0.76986,0.82138,0.44626,0.97884,9.70778e-05,9.70778e-05,9.70778e-05
88,7261.05,0.77168,0.47393,1.00717,0.99628,0.95,0.97203,0.78101,0.80449,0.39952,0.96694,8.41631e-05,8.41631e-05,8.41631e-05
89,7341.18,0.74795,0.44838,0.99714,0.99654,0.95,0.99045,0.78483,0.76677,0.38506,0.96259,7.21533e-05,7.21533e-05,7.21533e-05
90,7421.49,0.75155,0.44765,1.00111,0.9965,0.95,0.96826,0.7781,0.78832,0.40611,0.9651,6.10601e-05,6.10601e-05,6.10601e-05
91,7519.32,0.71018,0.40718,0.96141,0.99675,0.95,0.98071,0.78267,0.76706,0.40713,0.95488,5.08945e-05,5.08945e-05,5.08945e-05
92,7600.02,0.70303,0.39353,0.96234,1,0.99662,0.995,0.79465,0.77413,0.40032,0.956,4.16666e-05,4.16666e-05,4.16666e-05
93,7681.27,0.69407,0.39079,0.95888,1,0.99648,0.995,0.79202,0.78458,0.40197,0.95662,3.33854e-05,3.33854e-05,3.33854e-05
94,7769.81,0.71155,0.39519,0.96927,1,0.99655,0.995,0.79039,0.76949,0.39527,0.9568,2.60592e-05,2.60592e-05,2.60592e-05
95,7852.34,0.69418,0.39777,0.96314,0.99639,0.95,0.99262,0.78884,0.77464,0.40098,0.95592,1.9695e-05,1.9695e-05,1.9695e-05
96,7934.56,0.69942,0.37995,0.96374,1,0.99645,0.995,0.78997,0.78413,0.39796,0.95727,1.42993e-05,1.42993e-05,1.42993e-05
97,8016.96,0.69888,0.38952,0.96513,1,0.99649,0.995,0.78996,0.77377,0.39398,0.95675,9.87741e-06,9.87741e-06,9.87741e-06
98,8099.58,0.69954,0.38806,0.96848,1,0.99644,0.995,0.78988,0.77463,0.39603,0.95488,6.4336e-06,6.4336e-06,6.4336e-06
99,8181.84,0.69498,0.3886,0.96005,0.99653,0.95,0.99262,0.78816,0.77193,0.39703,0.95437,3.9713e-06,3.9713e-06,3.9713e-06
100,8264.08,0.70748,0.3874,0.96688,1,0.99661,0.995,0.7901,0.77298,0.38886,0.95547,2.49295e-06,2.49295e-06,2.49295e-06
